Datum
2011-07-22
2011-08-06
2011-08-20
2011-09-10
2011-09-24
2011-10-15
2011-10-29
2011-11-19
2011-12-03
2011-12-17
2012-02-04
2012-02-18
2012-03-03
2012-03-17
2012-03-31
2012-04-14
2012-08-04
2012-08-17
2012-09-14
2012-09-23
2012-10-07
2012-10-28
2012-11-10
2012-12-01
2013-03-01
2013-03-09
2013-03-28
2013-04-13
2013-04-28
2013-05-11
2013-05-18
2013-05-25
2013-07-20
2013-08-03
2013-08-17
2013-08-31
2013-09-14
2013-09-28
2013-10-19
2013-11-02
2013-11-16
2013-11-30
2013-12-14
2014-01-25
2014-02-08
2014-02-22
2014-03-08
2014-03-22
2014-04-05
2014-07-26
2014-08-06
2014-08-17
2014-08-30
2014-09-20
2014-09-27
2014-10-18
2014-11-01
2014-11-22
2014-12-13
2015-01-31
2015-02-14
2015-02-27
2015-03-21
2015-04-19
2015-07-25
2015-08-08
2015-08-22
2015-09-05
2015-10-03
2015-10-24
2015-11-07
2015-11-28
2015-12-12
2016-01-23
2016-02-06
2016-02-20
2016-03-05
2016-03-19
2016-07-30
2016-08-09
2016-08-27
2016-09-16
2016-09-24
2016-10-15
2016-11-05
2016-11-26
2016-12-10
2017-02-04
2017-02-18
2017-03-04
2017-03-14
2017-03-25
2017-04-05
2017-04-09
2017-08-11
2017-08-25
2017-09-16
2017-09-29
2017-10-21
2017-11-04
2017-11-25
2017-12-09
2017-12-22
2018-02-02
2018-02-16
2018-03-02
2018-03-17
2018-04-07
2018-08-11
2018-08-25
2018-09-16
2018-09-29
2018-10-21
2018-11-04
2018-11-25
2018-12-09
2018-12-22
2019-02-02
2019-02-16
2019-03-02
2019-03-17
2019-04-07
2020-09-13
2020-09-26
2020-10-18
2020-10-31
2020-11-09
2020-11-29
2020-12-12
2020-12-20
2021-01-13
2021-01-27
2021-01-30
2021-02-08
2021-02-22
2021-05-07
2023-08-05
2023-09-17
2023-09-30
2023-10-29
2023-11-04
2023-11-26
2023-12-10
2024-02-03
2024-02-17
2024-03-16
2024-04-20
